商品名,ブランド名,価格,特徴,推奨パーソナルカラー,商品カテゴリ
リップグロウ,Dior,4620,"唇の水分量に反応して色づくティントリップバーム。自然な血色感と潤いを与え、ふっくらとした唇に整えます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
リップティント,rom&nd,1320,"軽やかなつけ心地で、鮮やかな発色が長時間続くティントリップ。時間が経っても色落ちしにくく、美しい唇をキープします。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
リップエディション,Fujiko,1430,"落ちにくく、自然な血色感を与えるティントリップ。マスクにもつきにくい処方で、ツヤのある仕上がりが特徴です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
ルージュ ディオール,ディオール,5500,"クチュール カラーとケアを融合したリップスティック。サテン、マット、メタリックなど多様な仕上がりで、唇を美しく彩ります。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
リップスティック シアー,NARS,3960,"シアーな発色で、唇に軽やかなツヤを与えるリップスティック。重ねづけもしやすく、日常使いに最適です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
アライアンス リップスティック,THREE,4400,"植物由来成分配合で、唇に潤いを与えながら、鮮やかな発色と自然なツヤを叶えるリップスティック。心地よい使用感です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
リップカラー,TOM FORD BEAUTY,6600,"クリーミーなテクスチャーで、リッチな発色とツヤを叶えるリップスティック。ラグジュアリーなパッケージも魅力です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
リップスティック コンフォート エアリーシャイン,SUQQU,5500,"軽やかなつけ心地で、唇に潤いとツヤを与えるリップスティック。透明感のある発色で、自然な血色感を演出します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
リッププランパー,BIDOL,1540,"唇をぷっくりと見せるプランパー効果と、ティントの発色を兼ね備えたリップ。乾燥を防ぎ、潤いを与えます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
リップグロス,RMK,2970,"透明感のある発色と、ぷるんとしたツヤを与えるリップグロス。単体でも、リップスティックの上から重ねても使えます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
リップティント シアー,CANMAKE,715,"透け感のある発色で、唇をほんのり染めるティントリップ。プチプラながら、色持ちの良さも魅力です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
ルージュ ヴォリュプテ キャンディグレーズ,イヴ・サンローラン,4950,"キャンディのようなツヤと、とろけるようなつけ心地が特徴のリップスティック。潤いを与え、ふっくらとした唇に仕上げます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,リップ
リップケアバーム,SHIRO,4400,"唇を優しくケアし、乾燥から守るリップバーム。自然なツヤと潤いを与え、リップメイクの下地としても使えます。",全パーソナルカラー,リップ
グロウ ブラッシュ,アディクション,3300,"繊細なパールが肌に自然なツヤと血色感を与えるパウダーチーク。重ねるほどに発色が深まり、美しいグラデーションが楽しめます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
ブラッシュ カラー インフュージョン,ローラ メルシエ,3850,"軽やかなつけ心地で、肌に溶け込むようになじむパウダーチーク。自然な血色感と立体感を演出し、長時間美しい仕上がりが持続します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
パウダー ブラッシュ,M·A·C,3630,"豊富なカラーバリエーションと、マット・サテン・シアーなど多様な仕上がりが魅力のパウダーチーク。プロにも愛用されています。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
ブレンド フォー フェイス ブラッシュ,SUQQU,6050,"肌に溶け込むような発色と、内側からにじみ出るようなツヤを演出するパウダーチーク。繊細なパールが上品な輝きを与えます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
チーク ポップ,クリニーク,3850,"しっとりとした質感で、肌に溶け込むようになじむパークロースト製法のパウダーチーク。重ねづけしても粉っぽくならず、自然な血色感を与えます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
ブラッシュ カメリア,シャネル,7700,"カメリアの花を象った限定デザインのパウダーチーク。肌に自然な血色感と輝きを与え、上品な印象に仕上げます。",イエベ春;ブルべ夏,チーク
ブラッシュ クチュール,ディオール,6270,"肌に自然な血色感と輝きを与えるパウダーチーク。豊富なカラーバリエーションで、様々なメイクルックに対応します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
ジェル ブラッシュ,RMK,3520,"みずみずしいジェルテクスチャーで、肌に自然な血色感とツヤを与えるチーク。内側からにじみ出るような発色で、透明感のある仕上がりに。",イエベ春;ブルべ夏,チーク
クリーム ブラッシュ,THREE,3300,"肌に溶け込むようになじむクリームタイプのチーク。自然な血色感とツヤを与え、しっとりとした仕上がりが特徴です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
リキッド ブラッシュ,NARS,4070,"少量でしっかり発色し、肌に自然なツヤと血色感を与えるリキッドチーク。伸びが良く、ムラなく塗布できます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
レイヤー ブラッシュ コンパクト,セルヴォーク,3630,"肌に溶け込むようになじみ、自然な血色感と立体感を演出するパウダーチーク。重ねることで奥行きのある表情に。",イエベ秋;ブルべ冬,チーク
ピュア ブラッシュ,ジルスチュアート,2750,"クリスタルのような輝きと、透明感のある発色が魅力のパウダーチーク。愛らしいパッケージデザインも特徴です。",イエベ春;ブルべ夏,チーク
グローフルールチークス,CANMAKE,880,"5色の花びら型パウダーを混ぜて使うことで、自然な血色感とツヤを与えるパウダーチーク。プチプラながら高機能です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
クリームチーク,CANMAKE,638,"指で簡単に塗れるクリームタイプのチーク。肌に溶け込むようになじみ、内側からにじみ出るような血色感を演出します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
グロウブラッシュ,セザンヌ,660,"ツヤと血色感を同時に叶えるパウダーチーク。プチプラで手軽に試せるのが魅力です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
ムースチーク,Visee,1210,"ふわふわのムーステクスチャーで、肌に軽やかにフィットするチーク。ふんわりとした発色で、自然な血色感を演出します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
ブラッシュ デュオ,ADDICTION,3300,"2色の組み合わせで、立体感と血色感を同時に叶えるパウダーチーク。単色使いや混ぜて使うなど、様々な表情が楽しめます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
ピュア ブラッシュ,ルナソル,3630,"透明感のある発色で、肌に自然な血色感とツヤを与えるパウダーチーク。粉っぽさがなく、しっとりとしたつけ心地です。",イエベ春;ブルべ夏,チーク
ブラッシュ,BOBBI BROWN,4730,"マットからシマーまで、多様な質感と豊富なカラーバリエーションが魅力のパウダーチーク。肌に自然になじみ、健康的な血色感を与えます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
リキッドブラッシュ,JILL STUART,3080,"みずみずしいテクスチャーで、肌に溶け込むようになじむリキッドチーク。内側からにじみ出るような血色感を演出します。",イエベ春;ブルべ夏,チーク
ブラッシュカラーズ,エスプリーク,2750,"肌に溶け込むようになじみ、自然な血色感と立体感を演出するパウダーチーク。乾燥しにくい処方で、しっとりとした仕上がりが持続します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
カメリア ドゥ シャネル,シャネル,8800,"カメリアの花を象った限定デザインのパウダーチーク。肌に自然な血色感と輝きを与え、上品な印象に仕上げます。※限定品のため価格変動あり",イエベ春;ブルべ夏,チーク
シアー チーク パレット,TOM FORD BEAUTY,8800,"3色の組み合わせで、肌に立体感と輝きを与えるチークパレット。繊細なパールが、上品で洗練された印象を演出します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
ブラッシュ カラー,KANEBO,5500,"肌に溶け込むような発色で、自然な血色感とツヤを与えるパウダーチーク。重ねることで、より深みのある表情に。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
ザ ブラッシュ マット,ADDICTION,3300,"肌に溶け込むような、ふんわりとしたマットな質感のパウダーチーク。ナチュラルな血色感を演出し、様々なメイクにマッチします。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
ブラッシュ オン ブロンザー,Too Faced,4400,"肌に自然な血色感とブロンズの輝きを与えるパウダーチーク。顔全体にヘルシーな印象を与えたい時にもおすすめです。",イエベ春;イエベ秋,チーク
チークスティック,ETVOS,3630,"肌に潤いを与えながら、自然な血色感とツヤを演出するスティックタイプのチーク。メイク直しにも便利です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
ブラッシュデュオ ポーター,THREE,4400,"2色の異なる質感と発色を組み合わせたパウダーチーク。肌に自然な血色感と立体感を与え、奥行きのある表情を演出します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
ディファイン ブラッシュ,Amplitude,7150,"肌の透明感を引き出し、洗練された印象を与えるパウダーチーク。繊細な光沢感で、顔全体を明るく見せます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
ブラッシュ,NARS,4070,"豊富なカラーと質感のバリエーションが魅力のパウダーチーク。シルキーなつけ心地で、肌に美しく発色し、自然な血色感を与えます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,チーク
ザ アイシャドウ パール,ADDICTION,2200,"なめらかにのび広がり、繊細なパールが輝くアイシャドウ。単色でも重ねても美しく、豊富なカラーバリエーションが魅力です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
アイシャドウ パレット,Dior,8800,"マット、サテン、シマーなど多様な質感のカラーがセットされたアイシャドウパレット。クチュールからインスパイアされた色合いで、様々なルックを演出します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
アイカラー クォード,TOM FORD BEAUTY,11550,"4色のカラーがセットされたアイシャドウパレット。リュクスな質感と高発色で、洗練された目元を演出します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
アイシャドウ パレット,CHANEL,8360,"複数の質感を組み合わせたカラーがセットされたアイシャドウパレット。上品な輝きと深みで、印象的な目元に仕上げます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
ルナソル アイカラーレーション,ルナソル,6820,"光と影のコントラストで、洗練された目元を演出する4色アイシャドウパレット。しっとりとした質感で、肌に溶け込むようになじみます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
デザイニング カラー アイズ,SUQQU,7480,"計算された4色のグラデーションで、奥行きのある目元を演出するアイシャドウパレット。上品なツヤと発色が特徴です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
スフレアイズ,KATE,880,"しっとりとした質感で、まぶたに溶け込むようになじむ4色アイシャドウパレット。パールとマットの組み合わせで、様々なルックが楽しめます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
パーフェクトスタイリストアイズ,CANMAKE,858,"メインカラーを選んで2通りのメイクが楽しめる5色アイシャドウパレット。シルクのようなツヤ感と、繊細なラメが魅力です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
リアルクローズシャドウ,excel,1650,"肌なじみの良い色と、繊細なパールで、デイリーメイクに使いやすい4色アイシャドウ。重ねてもくすみにくく、美しい仕上がりが続きます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
セレクトアイカラーN,ESPRIQUE,880,"単色でも美しい発色と輝きを放つアイシャドウ。しっとりとした質感で、肌にフィットし、長時間美しい仕上がりが続きます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
ザ アイシャドウ スパークル,ADDICTION,2200,"大粒のラメが贅沢に輝くアイシャドウ。パーティーシーンや、目元に華やかさを加えたい時に最適です。",全パーソナルカラー,アイシャドウ
アイパレット,THREE,7150,"植物オイル配合で、肌に潤いを与えながら、洗練された目元を演出するアイシャドウパレット。ナチュラルな発色で、多様なメイクが楽しめます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
シグニチャー カラー アイズ,SUQQU,7700,"日本の美意識を表現した4色アイシャドウパレット。美しいグラデーションと、上品な輝きで、印象的な目元に仕上げます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
サンク クルール クチュール,Dior,8800,"豊富な色と質感で、多彩なアイメイクを可能にする5色アイシャドウパレット。美しい発色と、肌へのフィット感が特徴です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
オンブル プルミエール ラック,CHANEL,4950,"リキッドタイプのアイシャドウで、まぶたに密着し、長時間美しい輝きが持続します。単色でも、ベースとしても使えます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
ジェムアイカラー,COSME DECORTE,2970,"しっとりとした質感で、指で簡単に塗れる単色アイシャドウ。繊細な輝きと、奥行きのある発色で、印象的な目元を演出します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
エレガンス クルーズ アイカラー プレイフル,エレガンス,1980,"ポップなカラーと、きらめく輝きが特徴の単色アイシャドウ。アイメイクのアクセントや、気分を変えたい時にぴったりです。",イエベ春;ブルべ夏,アイシャドウ
エクセル スキニーリッチシャドウ,excel,1650,"肌なじみの良いブラウン系カラーで、日常使いしやすい4色アイシャドウ。重ねるだけで自然なグラデーションが完成します。",イエベ春;イエベ秋,アイシャドウ
アイシャドウ,RMK,2750,"豊富なカラーと質感のバリエーションが魅力の単色アイシャドウ。単色使いや、組み合わせて自分だけのパレットを作るのもおすすめです。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
セザンヌ トーンアップアイシャドウ,セザンヌ,638,"3色のグラデーションで、簡単に明るい目元を演出できるアイシャドウ。プチプラで普段使いしやすいのが魅力です。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
プリズム・リーブル・キャトル,ジバンシイ,8360,"4色のカラーと異なる質感を組み合わせたアイシャドウパレット。肌に溶け込むようになじみ、自然な立体感と輝きを与えます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
ドラマティックスタイリングアイズD,マキアージュ,3080,"瞳の色になじむブラウンと、輝きのあるアクセントカラーで、自然に大きな目元を演出するアイシャドウ。瞳の色に合わせた色選びができます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
ブラウンシェードアイズN,Visee,1210,"立体感のある目元を演出するブラウン系の4色アイシャドウ。ノーズシャドウとしても使える色が含まれており、顔全体にメリハリを与えます。",イエベ春;イエベ秋,アイシャドウ
アミューズ アイカラー,Amplitude,7150,"洗練された色と質感で、大人の目元を美しく彩るアイシャドウ。重ねることで奥行きのある表情に仕上げます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
シングル アイシャドー,NARS,2750,"豊富なカラーと質感のバリエーションが魅力の単色アイシャドウ。高発色で、重ねても美しく、アイメイクの可能性を広げます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
ザ スキンティントアイシャドウ,THREE,3850,"肌に溶け込むようになじむクリームタイプのアイシャドウ。単色でも、アイシャドウベースとしても使え、自然なツヤを与えます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
シルキーアイシャドウ,CELVOKE,2750,"植物オイル配合で、しっとりとした質感の単色アイシャドウ。繊細な輝きと、透明感のある発色で、自然な目元を演出します。",イエベ秋;ブルべ冬,アイシャドウ
アイシャドウチップ&ブラシ付き,CANMAKE,770,"発色とラメのバランスが良く、デイリー使いしやすい5色アイシャドウ。チップとブラシが付属しており、これ一つでアイメイクが完成します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
トーンタッチアイズ,COSME DECORTE,2970,"しっとりとした質感で、指で簡単に塗れる単色アイシャドウ。多彩なカラーと輝きで、目元に深みと立体感を与えます。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
シグニチャーカラーアイズ,KANEBO,7700,"肌に溶け込むような発色と、奥行きのある輝きが特徴のアイシャドウパレット。重ねることで、洗練された目元を演出します。",イエベ春;ブルべ夏;イエベ秋;ブルべ冬,アイシャドウ
